id,hc,dice,kappa,accuracy,sensitivity,specificity
00101,hc_left,0.7882,0.8116,0.9862,0.8179,0.9917
00101,hc_right,0.7407,0.7539,0.9832,0.7621,0.9904
00102,hc_left,0.8521,0.8410,0.9916,0.8455,0.9959
00102,hc_right,0.8194,0.7621,0.9896,0.7685,0.9966
00103,hc_left,0.8024,0.7934,0.9878,0.7998,0.9938
00103,hc_right,0.7238,0.6891,0.9824,0.6986,0.9921
00104,hc_left,0.7008,0.6977,0.9840,0.7059,0.9916
00104,hc_right,0.7421,0.7277,0.9849,0.7356,0.9925
00105,hc_left,0.7875,0.8307,0.9861,0.8366,0.9909
00105,hc_right,0.8400,0.9162,0.9891,0.9193,0.9913
00106,hc_left,0.8629,0.8415,0.9911,0.8465,0.9960
00106,hc_right,0.8013,0.7662,0.9873,0.7734,0.9946
00107,hc_left,0.7349,0.6480,0.9834,0.6578,0.9952
00107,hc_right,0.7660,0.6899,0.9829,0.7001,0.9947
00108,hc_left,0.8253,0.7672,0.9898,0.7736,0.9967
00108,hc_right,0.8531,0.8090,0.9906,0.8148,0.9967
00109,hc_left,0.8317,0.8275,0.9902,0.8326,0.9949
00109,hc_right,0.8304,0.7826,0.9894,0.7890,0.9962
00110,hc_left,0.8279,0.8534,0.9889,0.8583,0.9931
00110,hc_right,0.8052,0.8346,0.9877,0.8400,0.9923
00111,hc_left,0.7680,0.7196,0.9878,0.7266,0.9953
00111,hc_right,0.7674,0.6973,0.9874,0.7047,0.9960
00112,hc_left,0.7263,0.6909,0.9854,0.6988,0.9936
00112,hc_right,0.7273,0.6934,0.9861,0.7009,0.9939
00113,hc_left,0.8067,0.8505,0.9886,0.8551,0.9924
00113,hc_right,0.8456,0.9108,0.9894,0.9141,0.9919
00114,hc_left,0.8260,0.8376,0.9891,0.8428,0.9937
00114,hc_right,0.8228,0.8241,0.9883,0.8300,0.9937
00115,hc_left,0.8174,0.8199,0.9905,0.8246,0.9949
00115,hc_right,0.8617,0.8612,0.9919,0.8653,0.9957
00116,hc_left,0.8062,0.8407,0.9883,0.8457,0.9926
00116,hc_right,0.7240,0.7455,0.9845,0.7530,0.9909
00117,hc_left,0.7762,0.7769,0.9875,0.7832,0.9933
00117,hc_right,0.7972,0.7951,0.9872,0.8016,0.9932
00118,hc_left,0.7979,0.8135,0.9883,0.8191,0.9932
00118,hc_right,0.7939,0.7826,0.9886,0.7886,0.9943
00119,hc_left,0.7192,0.6578,0.9852,0.6661,0.9946
