id,roi,side,dice,kappa,accuracy,sensitivity,specificity
045,hc,left,0.9495,0.9448,1.0000,0.9448,1.0000
045,hc,right,0.9557,0.9625,1.0000,0.9625,1.0000
045,vc,left,0.9374,0.9246,0.9999,0.9246,1.0000
045,vc,right,0.9274,0.8987,0.9999,0.8987,1.0000
062,hc,left,0.9594,0.9597,1.0000,0.9598,1.0000
062,hc,right,0.9551,0.9619,0.9999,0.9619,1.0000
062,vc,left,0.8806,0.8417,0.9999,0.8417,1.0000
062,vc,right,0.8624,0.8098,0.9999,0.8099,1.0000
015,hc,left,0.9509,0.9404,0.9999,0.9405,1.0000
015,hc,right,0.9589,0.9571,0.9999,0.9571,1.0000
015,vc,left,0.8831,0.8623,0.9999,0.8623,1.0000
015,vc,right,0.8477,0.8133,0.9999,0.8133,1.0000
057,hc,left,0.9538,0.9439,0.9999,0.9439,1.0000
057,hc,right,0.9552,0.9484,0.9999,0.9484,1.0000
057,vc,left,0.9226,0.8904,0.9999,0.8905,1.0000
057,vc,right,0.8950,0.8509,0.9999,0.8510,1.0000
042,hc,left,0.9509,0.9632,0.9999,0.9633,1.0000
042,hc,right,0.9578,0.9625,1.0000,0.9625,1.0000
042,vc,left,0.8985,0.8645,0.9999,0.8646,1.0000
042,vc,right,0.8976,0.8726,0.9999,0.8726,1.0000
051,hc,left,0.9571,0.9502,0.9999,0.9502,1.0000
051,hc,right,0.9525,0.9516,0.9999,0.9517,1.0000
051,vc,left,0.7883,0.9319,0.9999,0.9319,1.0000
051,vc,right,0.7278,0.7481,0.9999,0.7482,0.9999
033,hc,left,0.9256,0.9010,0.9999,0.9011,1.0000
033,hc,right,0.9294,0.9172,0.9999,0.9173,1.0000
033,vc,left,0.8768,0.8559,0.9999,0.8560,1.0000
033,vc,right,0.8606,0.8552,0.9999,0.8552,1.0000
020,hc,left,0.9556,0.9521,1.0000,0.9521,1.0000
020,hc,right,0.9647,0.9731,1.0000,0.9731,1.0000
020,vc,left,0.9023,0.8814,1.0000,0.8815,1.0000
020,vc,right,0.8849,0.8501,1.0000,0.8501,1.0000
095,hc,left,0.9550,0.9606,1.0000,0.9606,1.0000
095,hc,right,0.9456,0.9675,0.9999,0.9675,1.0000
095,vc,left,0.9098,0.8804,1.0000,0.8804,1.0000
095,vc,right,0.8744,0.8573,0.9999,0.8573,1.0000
077,hc,left,0.9522,0.9515,0.9999,0.9516,1.0000
077,hc,right,0.9528,0.9579,0.9999,0.9580,1.0000
077,vc,left,0.8969,0.8843,0.9999,0.8843,1.0000
077,vc,right,0.8864,0.8877,0.9999,0.8878,1.0000
043,hc,left,0.9601,0.9608,1.0000,0.9608,1.0000
043,hc,right,0.9619,0.9678,1.0000,0.9678,1.0000
043,vc,left,0.9383,0.9245,1.0000,0.9245,1.0000
043,vc,right,0.9087,0.9050,0.9999,0.9050,1.0000
002,hc,left,0.9498,0.9287,0.9999,0.9287,1.0000
002,hc,right,0.9514,0.9361,0.9999,0.9361,1.0000
002,vc,left,0.9165,0.8889,1.0000,0.8890,1.0000
002,vc,right,0.8723,0.8459,0.9999,0.8459,1.0000
025,hc,left,0.9277,0.9631,0.9999,0.9632,1.0000
025,hc,right,0.9363,0.9595,0.9999,0.9595,1.0000
025,vc,left,0.8519,0.8795,1.0000,0.8795,1.0000
025,vc,right,0.8478,0.7947,1.0000,0.7947,1.0000
056,hc,left,0.9587,0.9488,1.0000,0.9488,1.0000
056,hc,right,0.9607,0.9549,1.0000,0.9549,1.0000
056,vc,left,0.9609,0.9522,1.0000,0.9522,1.0000
056,vc,right,0.9554,0.9361,1.0000,0.9362,1.0000
019,hc,left,0.9470,0.9348,0.9999,0.9349,1.0000
019,hc,right,0.9436,0.9407,0.9999,0.9407,1.0000
019,vc,left,0.9141,0.8919,0.9999,0.8919,1.0000
019,vc,right,0.8988,0.8792,1.0000,0.8792,1.0000
053,hc,left,0.9492,0.9510,0.9999,0.9510,1.0000
053,hc,right,0.9413,0.9501,0.9999,0.9501,1.0000
053,vc,left,0.8948,0.8617,1.0000,0.8618,1.0000
053,vc,right,0.8457,0.8004,0.9999,0.8005,1.0000
028,hc,left,0.9566,0.9615,1.0000,0.9616,1.0000
028,hc,right,0.9498,0.9519,0.9999,0.9519,1.0000
028,vc,left,0.9008,0.8824,1.0000,0.8824,1.0000
028,vc,right,0.8893,0.8676,1.0000,0.8676,1.0000
068,hc,left,0.9648,0.9590,1.0000,0.9590,1.0000
068,hc,right,0.9589,0.9509,1.0000,0.9509,1.0000
068,vc,left,0.9008,0.8735,1.0000,0.8736,1.0000
068,vc,right,0.8977,0.8627,0.9999,0.8628,1.0000
078,hc,left,0.9364,0.9404,0.9999,0.9404,1.0000
078,hc,right,0.9241,0.9409,0.9999,0.9410,0.9999
078,vc,left,0.8533,0.8129,0.9999,0.8129,1.0000
078,vc,right,0.8312,0.7983,0.9999,0.7983,1.0000
064,hc,left,0.9647,0.9585,1.0000,0.9585,1.0000
064,hc,right,0.9493,0.9468,0.9999,0.9469,1.0000
064,vc,left,0.8904,0.8561,1.0000,0.8561,1.0000
064,vc,right,0.8304,0.7870,0.9999,0.7871,1.0000
027,hc,left,0.9505,0.9561,0.9999,0.9561,1.0000
027,hc,right,0.9494,0.9732,0.9999,0.9732,1.0000
027,vc,left,0.9363,0.9299,1.0000,0.9299,1.0000
027,vc,right,0.9239,0.9391,1.0000,0.9391,1.0000
029,hc,left,0.9565,0.9616,0.9999,0.9616,1.0000
029,hc,right,0.9594,0.9663,0.9999,0.9663,1.0000
029,vc,left,0.9201,0.9054,1.0000,0.9054,1.0000
029,vc,right,0.9063,0.8821,1.0000,0.8821,1.0000
021,hc,left,0.9534,0.9536,1.0000,0.9537,1.0000
021,hc,right,0.9510,0.9529,1.0000,0.9529,1.0000
021,vc,left,0.8684,0.8469,1.0000,0.8470,1.0000
021,vc,right,0.8679,0.8436,1.0000,0.8437,1.0000
050,hc,left,0.9599,0.9571,1.0000,0.9571,1.0000
050,hc,right,0.9404,0.9484,0.9999,0.9484,1.0000
050,vc,left,0.8638,0.8394,1.0000,0.8394,1.0000
050,vc,right,0.8590,0.8018,0.9999,0.8019,1.0000
012,hc,left,0.9612,0.9512,1.0000,0.9512,1.0000
012,hc,right,0.9631,0.9556,1.0000,0.9556,1.0000
012,vc,left,0.9350,0.9305,1.0000,0.9305,1.0000
012,vc,right,0.9236,0.9240,1.0000,0.9240,1.0000
092,hc,left,0.9570,0.9648,1.0000,0.9648,1.0000
092,hc,right,0.9435,0.9567,0.9999,0.9567,1.0000
