id,roi,side,dice,kappa,accuracy,sensitivity,specificity
045,hc,left,0.7067,0.8417,0.9997,0.8418,0.9998
045,hc,right,0.8876,0.9592,0.9999,0.9592,0.9999
045,vc,left,0.5375,0.3941,0.9996,0.3943,1.0000
045,vc,right,0.7448,0.6166,0.9998,0.6167,1.0000
062,hc,left,0.9081,0.9036,0.9999,0.9036,1.0000
062,hc,right,0.9075,0.9176,0.9999,0.9177,0.9999
062,vc,left,0.7355,0.7467,0.9999,0.7468,0.9999
062,vc,right,0.7409,0.7321,0.9999,0.7321,0.9999
015,hc,left,0.8919,0.8617,0.9999,0.8618,1.0000
015,hc,right,0.9025,0.8969,0.9999,0.8970,0.9999
015,vc,left,0.7641,0.7418,0.9999,0.7419,1.0000
015,vc,right,0.6973,0.7525,0.9999,0.7526,0.9999
057,hc,left,0.8876,0.9092,0.9999,0.9092,0.9999
057,hc,right,0.9096,0.8960,0.9999,0.8960,1.0000
057,vc,left,0.7460,0.6730,0.9998,0.6731,1.0000
057,vc,right,0.7475,0.6562,0.9999,0.6562,1.0000
042,hc,left,0.8974,0.9383,0.9999,0.9384,0.9999
042,hc,right,0.9009,0.9366,0.9999,0.9366,0.9999
042,vc,left,0.7612,0.6876,0.9999,0.6876,1.0000
042,vc,right,0.7119,0.6152,0.9999,0.6153,1.0000
051,hc,left,0.9117,0.9055,0.9999,0.9055,0.9999
051,hc,right,0.8998,0.9290,0.9999,0.9291,0.9999
051,vc,left,0.5554,0.8813,0.9998,0.8813,0.9999
051,vc,right,0.5316,0.6366,0.9998,0.6367,0.9999
033,hc,left,0.8803,0.8907,0.9999,0.8907,0.9999
033,hc,right,0.8982,0.9130,0.9999,0.9131,0.9999
033,vc,left,0.7190,0.6845,0.9999,0.6846,0.9999
033,vc,right,0.7481,0.6948,0.9999,0.6948,1.0000
095,hc,left,0.9043,0.9074,0.9999,0.9075,1.0000
095,hc,right,0.8966,0.9415,0.9999,0.9415,0.9999
095,vc,left,0.7873,0.7814,0.9999,0.7814,1.0000
095,vc,right,0.7104,0.6705,0.9999,0.6706,1.0000
020,hc,left,0.8461,0.8960,0.9998,0.8960,0.9999
