id,roi,side,dice,kappa,accuracy,sensitivity,specificity
045,hc,left,0.8420,0.8566,0.9999,0.8567,0.9999
045,hc,right,0.8984,0.8936,0.9999,0.8937,1.0000
045,vc,left,0.7691,0.6960,0.9998,0.6962,0.9999
045,vc,right,0.7728,0.7037,0.9998,0.7038,1.0000
062,hc,left,0.8981,0.9123,0.9999,0.9124,0.9999
062,hc,right,0.9047,0.9007,0.9999,0.9008,0.9999
062,vc,left,0.6985,0.6190,0.9999,0.6191,1.0000
062,vc,right,0.6560,0.5509,0.9999,0.5509,1.0000
015,hc,left,0.8994,0.9029,0.9999,0.9030,0.9999
015,hc,right,0.9053,0.8984,0.9999,0.8985,0.9999
015,vc,left,0.7045,0.6659,0.9999,0.6660,1.0000
015,vc,right,0.6921,0.6489,0.9999,0.6490,1.0000
057,hc,left,0.9018,0.8707,0.9999,0.8708,1.0000
057,hc,right,0.9017,0.9120,0.9999,0.9121,0.9999
057,vc,left,0.7717,0.7620,0.9998,0.7620,0.9999
057,vc,right,0.7425,0.7268,0.9998,0.7269,0.9999
042,hc,left,0.8930,0.9390,0.9999,0.9391,0.9999
042,hc,right,0.8919,0.9202,0.9999,0.9203,0.9999
042,vc,left,0.7243,0.6511,0.9999,0.6512,1.0000
042,vc,right,0.7305,0.7124,0.9999,0.7125,0.9999
051,hc,left,0.9025,0.8856,0.9999,0.8857,1.0000
051,hc,right,0.8898,0.8999,0.9999,0.9000,0.9999
051,vc,left,0.5009,0.8792,0.9998,0.8793,0.9998
051,vc,right,0.5366,0.7150,0.9998,0.7151,0.9998
033,hc,left,0.8933,0.8670,0.9999,0.8670,1.0000
033,hc,right,0.9084,0.8909,0.9999,0.8909,1.0000
033,vc,left,0.7439,0.7281,0.9999,0.7282,0.9999
033,vc,right,0.7373,0.6996,0.9999,0.6997,1.0000
095,hc,left,0.8917,0.8759,0.9999,0.8760,1.0000
095,hc,right,0.8992,0.9136,0.9999,0.9136,0.9999
095,vc,left,0.7092,0.6868,0.9999,0.6869,0.9999
095,vc,right,0.6999,0.6888,0.9999,0.6888,0.9999
020,hc,left,0.9086,0.9070,0.9999,0.9070,1.0000
020,hc,right,0.8817,0.8899,0.9999,0.8899,0.9999
020,vc,left,0.7444,0.6748,0.9999,0.6749,1.0000
020,vc,right,0.7551,0.7708,0.9999,0.7708,1.0000
077,hc,left,0.8748,0.9135,0.9998,0.9136,0.9999
077,hc,right,0.8667,0.9267,0.9998,0.9268,0.9999
077,vc,left,0.7000,0.6627,0.9998,0.6628,0.9999
077,vc,right,0.7211,0.7345,0.9999,0.7346,0.9999
043,hc,left,0.9066,0.9125,0.9999,0.9125,0.9999
043,hc,right,0.9085,0.9116,0.9999,0.9116,0.9999
043,vc,left,0.7684,0.7742,0.9999,0.7742,0.9999
043,vc,right,0.7499,0.7623,0.9999,0.7624,0.9999
002,hc,left,0.8808,0.8287,0.9999,0.8288,1.0000
002,hc,right,0.8841,0.8169,0.9999,0.8170,1.0000
002,vc,left,0.6826,0.5430,0.9998,0.5431,1.0000
002,vc,right,0.7415,0.7052,0.9999,0.7053,1.0000
025,hc,left,0.8374,0.9315,0.9998,0.9315,0.9999
025,hc,right,0.8598,0.9025,0.9999,0.9025,0.9999
025,vc,left,0.6564,0.7266,0.9999,0.7266,0.9999
025,vc,right,0.6457,0.6530,0.9999,0.6531,0.9999
