id,label,dice,kappa
001,1,0.8915,0.9281
001,2,0.5856,0.7511
001,3,0.8917,0.9310
001,4,0.7060,0.7659
002,1,0.8777,0.9369
002,2,0.6772,0.9190
002,3,0.8864,0.9632
002,4,0.7415,0.7813
003,1,0.8786,0.8581
003,2,0.8059,0.8463
003,3,0.8445,0.9021
003,4,0.7011,0.8004
004,1,0.8904,0.9634
004,2,0.7322,0.8551
004,3,0.8965,0.9420
004,4,0.7236,0.8280
005,1,0.9016,0.9598
005,2,0.7285,0.8316
005,3,0.9020,0.9236
005,4,0.7436,0.8627
006,1,0.8963,0.9411
006,2,0.7764,0.8109
006,3,0.8887,0.9208
006,4,0.7106,0.7804
007,1,0.9137,0.9446
007,2,0.7105,0.6948
007,3,0.9038,0.9400
007,4,0.6928,0.6482
009,1,0.9124,0.9199
009,2,0.7239,0.6936
009,3,0.9134,0.9286
009,4,0.7374,0.7395
010,1,0.8970,0.9146
010,2,0.7315,0.7030
010,3,0.8944,0.9101
010,4,0.6422,0.6177
011,1,0.8711,0.8888
011,2,0.7236,0.7723
011,3,0.8925,0.9024
011,4,0.6890,0.6823
012,1,0.9163,0.9323
012,2,0.7709,0.7439
012,3,0.9126,0.9248
012,4,0.7436,0.7217
013,1,0.9017,0.9096
013,2,0.7539,0.7896
013,3,0.8984,0.8880
013,4,0.7595,0.7931
014,1,0.9272,0.9295
014,2,0.7917,0.7432
014,3,0.9130,0.9265
014,4,0.7794,0.7254
015,1,0.8972,0.8814
015,2,0.7021,0.7484
015,3,0.9067,0.9117
015,4,0.6936,0.7449
016,1,0.9019,0.9205
016,2,0.7707,0.8653
016,3,0.9025,0.9200
016,4,0.7628,0.8354
017,1,0.8968,0.9284
017,2,0.7817,0.7852
017,3,0.8847,0.9207
017,4,0.7225,0.7385
018,1,0.9040,0.9282
018,2,0.7154,0.7347
018,3,0.9111,0.9298
018,4,0.7783,0.7914
019,1,0.8684,0.8951
019,2,0.7039,0.8318
019,3,0.8756,0.8822
019,4,0.7217,0.8295
020,1,0.9100,0.9088
020,2,0.7486,0.8392
020,3,0.8818,0.8763
020,4,0.7564,0.7429
021,1,0.9026,0.8964
021,2,0.7076,0.6809
021,3,0.8940,0.8909
021,4,0.6918,0.7509
022,1,0.8768,0.8932
022,2,0.6993,0.7391
022,3,0.9219,0.9236
022,4,0.7467,0.8298
023,1,0.8954,0.8774
023,2,0.8027,0.8333
023,3,0.8906,0.8714
023,4,0.7832,0.8079
025,1,0.8329,0.7519
025,2,0.6575,0.5925
025,3,0.8622,0.8192
025,4,0.6393,0.6355
026,1,0.8974,0.8663
026,2,0.7795,0.8235
026,3,0.9084,0.9052
026,4,0.7257,0.7824
027,1,0.9047,0.8739
027,2,0.7958,0.8260
027,3,0.8892,0.8401
027,4,0.7637,0.8003
028,1,0.9057,0.8710
028,2,0.7318,0.7497
028,3,0.8768,0.8803
028,4,0.6924,0.6967
029,1,0.9088,0.9055
029,2,0.7730,0.7705
029,3,0.9040,0.9131
029,4,0.7733,0.7982
030,1,0.8968,0.8785
030,2,0.7513,0.8095
030,3,0.8652,0.8587
030,4,0.7061,0.6834
032,1,0.8942,0.8928
032,2,0.6774,0.7653
032,3,0.9053,0.9282
032,4,0.6944,0.7823
033,1,0.8935,0.9198
033,2,0.7499,0.7714
033,3,0.9091,0.9290
033,4,0.7422,0.7857
034,1,0.9027,0.9424
034,2,0.8122,0.8112
034,3,0.9038,0.9282
034,4,0.7276,0.8010
035,1,0.9052,0.8833
035,2,0.7735,0.8236
035,3,0.9055,0.8865
035,4,0.7588,0.8294
036,1,0.8948,0.8978
036,2,0.7453,0.7257
036,3,0.8967,0.8734
036,4,0.6686,0.5976
037,1,0.8801,0.8630
037,2,0.8356,0.8854
037,3,0.8832,0.8924
037,4,0.7898,0.8598
038,1,0.9080,0.9203
038,2,0.7339,0.8287
038,3,0.9088,0.8942
038,4,0.7116,0.8398
