ID,LHC,RHC,HC
hc_icbm_cnn_00101,4519,4456,8975
hc_icbm_cnn_00102,4160,3968,8128
hc_icbm_cnn_00103,4507,4473,8980
hc_icbm_cnn_00104,3183,3422,6605
hc_icbm_cnn_00105,3854,4142,7996
hc_icbm_cnn_00106,3892,3765,7657
hc_icbm_cnn_00107,3253,3885,7138
hc_icbm_cnn_00108,4145,4634,8779
hc_icbm_cnn_00109,3968,4012,7980
hc_icbm_cnn_00110,3727,3660,7387
hc_icbm_cnn_00111,4447,4409,8856
hc_icbm_cnn_00112,3949,3769,7718
hc_icbm_cnn_00113,3603,4274,7877
hc_icbm_cnn_00114,4053,4207,8260
hc_icbm_cnn_00115,3941,4448,8389
hc_icbm_cnn_00116,4632,4301,8933
hc_icbm_cnn_00117,3584,4036,7620
hc_icbm_cnn_00118,4215,3884,8099
hc_icbm_cnn_00119,3538,4069,7607
hc_icbm_cnn_00120,4440,4611,9051
hc_icbm_cnn_00121,4172,4181,8353
hc_icbm_cnn_00122,4182,4080,8262
hc_icbm_cnn_00123,4546,4562,9108
hc_icbm_cnn_00124,4501,4533,9034
hc_icbm_cnn_00125,4165,4334,8499
hc_icbm_cnn_00126,3571,3611,7182
hc_icbm_cnn_00127,4272,4739,9011
hc_icbm_cnn_00131,4016,4313,8329
hc_icbm_cnn_00133,3920,3901,7821
hc_icbm_cnn_00134,4499,4265,8764
hc_icbm_cnn_00135,4390,4636,9026
hc_icbm_cnn_00137,4758,4789,9547
hc_icbm_cnn_00138,3086,3620,6706
hc_icbm_cnn_00139,4550,4599,9149
hc_icbm_cnn_00140,4565,4687,9252
hc_icbm_cnn_00141,4136,3828,7964
hc_icbm_cnn_00142,4266,3961,8227
hc_icbm_cnn_00143,4523,4403,8926
hc_icbm_cnn_00144,3575,3923,7498
hc_icbm_cnn_00145,5000,4932,9932
hc_icbm_cnn_00146,4161,4320,8481
hc_icbm_cnn_00148,4159,4440,8599
hc_icbm_cnn_00149,3873,4147,8020
hc_icbm_cnn_00150,4395,4158,8553
hc_icbm_cnn_00152,4177,4271,8448
hc_icbm_cnn_00153,3629,3586,7215
hc_icbm_cnn_00155,4381,4834,9215
hc_icbm_cnn_00156,4351,4242,8593
hc_icbm_cnn_00157,4260,4427,8687
hc_icbm_cnn_00158,3377,3803,7180
hc_icbm_cnn_00200,3922,4324,8246
hc_icbm_cnn_00201,4000,4444,8444
hc_icbm_cnn_00202,4043,4045,8088
hc_icbm_cnn_00203,3276,3858,7134
hc_icbm_cnn_00209,4616,4422,9038
hc_icbm_cnn_00212,4289,4214,8503
hc_icbm_cnn_00213,3932,4339,8271
hc_icbm_cnn_00226,4725,4678,9403
hc_icbm_cnn_00231,4544,4575,9119
hc_icbm_cnn_00236,4327,4365,8692
hc_icbm_cnn_00239,3881,4208,8089
hc_icbm_cnn_00249,4002,4113,8115
hc_icbm_cnn_00300,4599,4514,9113
hc_icbm_cnn_00304,3385,3727,7112
hc_icbm_cnn_00305,3731,3838,7569
hc_icbm_cnn_00307,3700,3663,7363
hc_icbm_cnn_00309,3441,3816,7257
hc_icbm_cnn_00311,4738,4401,9139
hc_icbm_cnn_00319,4167,4439,8606
hc_icbm_cnn_00320,3812,3865,7677
hc_icbm_cnn_00321,3967,4271,8238
hc_icbm_cnn_00327,4285,4465,8750
hc_icbm_cnn_00332,4113,4125,8238
hc_icbm_cnn_00333,4314,4427,8741
hc_icbm_cnn_00336,4190,4771,8961
hc_icbm_cnn_00338,4155,4236,8391
hc_icbm_cnn_00341,3992,4110,8102
hc_icbm_cnn_00343,4460,4476,8936
hc_icbm_cnn_00346,4043,4055,8098
hc_icbm_cnn_00347,4666,4717,9383
hc_icbm_man_00101,4202,4212,8414
hc_icbm_man_00102,4226,4531,8757
hc_icbm_man_00103,4536,4808,9344
hc_icbm_man_00104,3138,3483,6621
hc_icbm_man_00105,3427,3484,6911
hc_icbm_man_00106,4046,4047,8093
hc_icbm_man_00107,4117,4692,8809
hc_icbm_man_00108,4739,5091,9830
hc_icbm_man_00109,3960,4456,8416
hc_icbm_man_00110,3472,3369,6841
hc_icbm_man_00111,4985,5270,10255
hc_icbm_man_00112,4273,4065,8338
hc_icbm_man_00113,3217,3678,6895
hc_icbm_man_00114,3894,4135,8029
hc_icbm_man_00115,3872,4411,8283
hc_icbm_man_00116,4219,3983,8202
hc_icbm_man_00117,3520,3992,7512
hc_icbm_man_00118,4002,3936,7938
hc_icbm_man_00119,4151,4284,8435
hc_icbm_man_00120,4155,4232,8387
hc_icbm_man_00121,4033,4381,8414
hc_icbm_man_00122,3703,4072,7775
hc_icbm_man_00123,4837,4848,9685
hc_icbm_man_00124,4446,4629,9075
hc_icbm_man_00125,3884,3927,7811
hc_icbm_man_00126,3609,3796,7405
hc_icbm_man_00127,4207,4800,9007
hc_icbm_man_00131,4156,4161,8317
hc_icbm_man_00133,4344,4715,9059
hc_icbm_man_00134,4344,4436,8780
hc_icbm_man_00135,5096,5181,10277
hc_icbm_man_00137,4569,5079,9648
hc_icbm_man_00138,3621,4060,7681
hc_icbm_man_00139,4386,4914,9300
hc_icbm_man_00140,4715,4614,9329
hc_icbm_man_00141,4385,3741,8126
hc_icbm_man_00142,4450,4275,8725
hc_icbm_man_00143,4929,4978,9907
hc_icbm_man_00144,3773,4365,8138
hc_icbm_man_00145,4713,5010,9723
hc_icbm_man_00146,4609,4627,9236
hc_icbm_man_00148,4267,4329,8596
hc_icbm_man_00149,3891,4367,8258
hc_icbm_man_00150,4639,4046,8685
hc_icbm_man_00152,4305,4301,8606
hc_icbm_man_00153,3267,3861,7128
hc_icbm_man_00155,4302,4956,9258
hc_icbm_man_00156,3804,3916,7720
hc_icbm_man_00157,4033,4372,8405
hc_icbm_man_00158,3441,3743,7184
hc_icbm_man_00200,3839,4063,7902
hc_icbm_man_00201,3686,3955,7641
hc_icbm_man_00202,4193,4000,8193
hc_icbm_man_00203,3362,3860,7222
hc_icbm_man_00209,4330,4625,8955
hc_icbm_man_00212,4142,4224,8366
hc_icbm_man_00213,3981,3974,7955
hc_icbm_man_00226,4899,4918,9817
hc_icbm_man_00231,4567,4779,9346
hc_icbm_man_00236,4555,4628,9183
hc_icbm_man_00239,4316,4731,9047
hc_icbm_man_00249,3905,4024,7929
hc_icbm_man_00300,4735,5165,9900
hc_icbm_man_00304,3453,4059,7512
hc_icbm_man_00305,3448,3991,7439
hc_icbm_man_00307,3467,3938,7405
hc_icbm_man_00309,3348,4077,7425
hc_icbm_man_00311,4317,4487,8804
hc_icbm_man_00319,4208,3986,8194
hc_icbm_man_00320,3610,3819,7429
hc_icbm_man_00321,4069,4524,8593
hc_icbm_man_00327,4260,4558,8818
hc_icbm_man_00332,3732,4247,7979
hc_icbm_man_00333,4058,4364,8422
hc_icbm_man_00336,4144,4798,8942
hc_icbm_man_00338,3950,4052,8002
hc_icbm_man_00341,3752,4063,7815
hc_icbm_man_00343,3541,4102,7643
hc_icbm_man_00346,3687,3872,7559
hc_icbm_man_00347,3873,4161,8034
